countyname,score
Adams,87
Alexander,79
Boone,85
Brown,84
Bureau,95
Carroll,93
Cass,93
Champaign,81
Christian,80
Clark,85
Clay,83
Clinton,89
Coles,85
Cook,76
Crawford,90
Cumberland,59
Dekalb,91
Douglas,61
Dupage,75
Dupage,82
Edgar,78
Edwards,93
Effingham,89
Fayette,91
Ford,82
Franklin,74
Fulton,86
Gallatin,89
Grundy,85
Hancock,86
Henderson,92
Henry,95
Iroquois,76
Jackson,79
Jasper,83
Jefferson,79
Jersey,89
Jo Daviess,86
Johnson,96
Kane,72
Kankakee,78
Kendall,80
Knox,96
Lake,75
Lasalle,81
Lawrence,96
Lee,90
Livingston,91
Logan,86
Macon,90
Macoupin,84
Madison,78
Marion,77
Marshall,92
Mason,87
McDonough,98
McHenry,96
McLean,93
Morgan,85
Ogle,36
Peoria,63
Perry,86
Piatt,67
Pike,74
Pulaski,87
Richland,72
Richland,96
Rock Island,93
Saline,92
Sangamon,53
Shelby,87
St. Clair,76
Stark,92
Stephenson,80
Tazewell,79
Union,82
Vermilion,82
Wabash,98
White,81
Whiteside,89
Will,44
Winnebago,46
Woodford,87
